,Prime Number Range,Key Generation Time,Encryption Time,Decryption Time,CRT Decryption Time
0,4-5,0.00012984275817871094,4.100799560546875e-06,3.719329833984375e-06,3.337860107421875e-06
1,5-6,0.00028309822082519533,4.76837158203125e-06,4.0531158447265625e-06,3.7670135498046877e-06
2,6-7,0.00047426223754882814,4.57763671875e-06,4.1961669921875e-06,3.7670135498046877e-06
3,7-8,0.0016849517822265625,6.4849853515625e-06,5.245208740234375e-06,5.102157592773437e-06
4,8-9,0.003126859664916992,5.769729614257812e-06,6.4849853515625e-06,6.246566772460937e-06
5,9-10,0.010617637634277343,7.3909759521484375e-06,6.866455078125e-06,6.723403930664062e-06
6,10-11,0.11031885147094726,8.249282836914063e-06,8.7738037109375e-06,8.392333984375e-06
7,11-12,0.6338220596313476,5.769729614257812e-06,4.1961669921875e-06,3.910064697265625e-06
8,12-13,1.6429615497589112,6.198883056640625e-06,5.53131103515625e-06,5.245208740234375e-06
9,13-14,3.7526407718658445,6.9141387939453125e-06,5.91278076171875e-06,5.7220458984375e-06
10,14-15,16.717824125289916,1.2111663818359374e-05,1.0061264038085938e-05,9.584426879882813e-06
